N,parameter,recovery_rate,n_reps
20,k_field,0.4,5
20,omega_base,0.6,5
20,zeta,0.0,5
20,m0,0.4,5
20,gain,0.4,5
20,a_sensitivity,0.4,5
20,coupling_structure,,5
40,k_field,0.4,5
40,omega_base,0.8,5
40,zeta,0.2,5
40,m0,0.4,5
40,gain,0.4,5
40,a_sensitivity,0.8,5
40,coupling_structure,,5
60,k_field,0.2,5
60,omega_base,0.8,5
60,zeta,0.2,5
60,m0,0.2,5
60,gain,0.2,5
60,a_sensitivity,0.4,5
60,coupling_structure,,5
80,k_field,0.6,5
80,omega_base,0.8,5
80,zeta,0.2,5
80,m0,0.0,5
80,gain,0.2,5
80,a_sensitivity,0.2,5
80,coupling_structure,,5
100,k_field,0.4,5
100,omega_base,0.8,5
100,zeta,0.2,5
100,m0,0.0,5
100,gain,0.2,5
100,a_sensitivity,0.2,5
100,coupling_structure,,5
120,k_field,0.8,5
120,omega_base,0.6,5
120,zeta,0.0,5
120,m0,0.0,5
120,gain,0.2,5
120,a_sensitivity,0.8,5
120,coupling_structure,,5
